sentimen,tweet,clean_tweet
positif,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Kepercayaan hanya diberikan pd mrk yg berpengalaman. Seorang @jokowi memiliki wakil yg berpengalaman dibidang ekonomi. Coblos YUK 01 Yaâ€¦.   https://www.merdeka.com/uang/harapan-dan-prediksi-ekonomi-di-tangan-jokowi-maruf-amin.htmlÂ â€¦,pilihorangbaik pilihjelasislamnya pilihbajuputih kepercayaan diberikan mereka berpengalaman seorang memiliki wakil berpengalaman dibidang ekonomi coblos yuk 01 yaâ â
negatif,"UMMAT ISLAM YG WARAS DAN CERDAS PASTI SENANG BERAMAL,COBLOS PRABOWO  ANDA IKUT ANDIL DLM BERAMAL , GAJI BELIAU TDK DIAMBIL  TP UNTK AMAL***",umat islam waras cerdas senang beramal coblos prabowo ikut andil beramal gaji beliau diambil untuk amal
positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Keberhasilan tidak hanya dibidang infrastruktur, Jokowi jg berhasil memperbaiki ekonomi Indonesia. Coblos YUK 01 Yaâ€¦.  https://kumparan.com/beritajatim/kein-ada-18-keberhasilan-ekonomi-di-era-jokowi-1546401151770458328Â â€¦",pilihorangbaik pilihjelasislamnya pilihbajuputih keberhasilan hanya dibidang infrastruktur jokowi berhasil memperbaiki ekonomi indonesia coblos yuk 01 yaâ â
negatif,"Model ngeles petruk Sudah ketaker  Ber-busa2 didepan Sandi ngomongin ekonomi makro dg congkaknya  Untung Sandi nya sabar gak di kick balik Pantesan menteri2nya yg pintar2 pada mbodoni  , lha juragannya kyk gini pek*k nya  ..ðŸ˜¢ðŸ˜¬ #UASdifitnahKejiBalasDiTPS @prabowo @sandiuno",model ngeles petruk ketaker ber busa2 depan sandi membicarakan ekonomi makro congkaknya untung sandi nya sabar di kick balik pantas menteri2nya pintar pintar mbodoni lah juragannya kayak begini pek k nya ðÿ ðÿ uasdifitnahkejibalasditps
positif,"Dengan memilih 02 kita sudah bersodakoh,  karna prabowo sandi menyumbangkan gaji mereka untuk negara,fakir miskin, yatim piatu, masjid. Jadikan prabowo sandi presiden dan wakil presiden RI  #SAVE_UAS",memilih 02 sudah bersodakoh prabowo sandi menyumbangkan gaji untuk negara fakir miskin yatim piatu masjid jadikan prabowo sandi presiden wakil presiden ri save_uas
positif,Alhamdulillah Capres 02 Mau sedekahkan Gajinya Untuk Rakyat Miskin..  Disini kami Korban2 Gempa2 pasigala butuh bantuan pak.. @prabowo @sandiuno @karniilyas @rockygerung #PrabowoSandi #02MenangAdilMakmur,alhamdulillah calon presiden 02 mau sedekahkan gajinya rakyat miskin sini korban2 gempa2 pasigala butuh bantuan pak prabowosandi 02menangadilmakmur
netral,"No. 5 donk mang.  Dan sayah percaya, semua saudara seperjuangan 02, ikhlas HANYA ingin negeri ini berubah jauh lebik baik lg dari sekarang. Masyarakatnya damai, tenang, aman...kesejahteraan meningkat, harga2 rendah & stabil #UASdifitnahKejiBalasDiTPS #UASdifitnahKejiBalasDiTPS",no 5 dong mang saya percaya semua saudara seperjuangan 02 ikhlas ingin negeri berubah jauh lebik baik dari sekarang masyarakatnya damai tenang aman kesejahteraan meningkat harga harga rendah stabil uasdifitnahkejibalasditps uasdifitnahkejibalasditps
negatif,@DivHumas_Polri  Gakan di ladenin sama pak pulisi   Karna pak pulisi di gaji sama @jokowi pake duit @jokowi bukaan sama RAKYAT!!!  lapor nya nanti aja tunggu udah ganti presiden   #UASdifitnahKejiDanBrutal #UASdifitnahKejiDanBrutal #UASdifitnahKejiDanBrut,enggak meladeni sama pak pulisi pak pulisi di gaji sama pakai duit bukaan sama rakyat lapor nya saja tunggu ganti presiden uasdifitnahkejidanbrutal uasdifitnahkejidanbrutal uasdifitnahkejidanbrut
negatif,"baguslah pendukung jokowi tebang pohon bkn dg golok/gergaji, tapi dg ranting pohon itu sendiri, jadi elektabilitas jokowi nyungseb bkn oleh lawan politiknya, tapi oleh pendukung dari dalam sendiri. TOLOL DIPELIHARA, DASAR EBONG  https://twitter.com/AkunTofa/status/1117528741809229824Â â€¦",baguslah pendukung jokowi tebang pohon bukan golok gergaji dengan ranting pohon sendiri jadi elektabilitas jokowi nyungsep bukan lawan politiknya oleh pendukung dalam sendiri tolol dipelihara dasar cebong â
positif,"Memang tidak bisa kita menghendaki harga cabai sampai Rp 10.000, harga bawang sampai Rp 5.000, petaninya yang kasihan, kata Jokowi #2019JokowiKyaiMaruf #1PeriodeLagiUntukJokowi #PesonaBonoSurfing  https://twitter.com/tag_nusantara/status/1061795598209232896/photo/1 pic.twitter.com/NApI0SoReiÂ ",memang bisa menghendaki harga cabai rupiah 10 00 harga bawang rupiah 5 00 petaninya kasihan kata jokowi 2019jokowikyaimaruf 1periodelagiuntukjokowi pesonabonosurfing pic twitter com napi0soreiâ
netral,Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerjasama Ekonomi  https://apahabar.com/2019/04/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerjasama-ekonomi/Â â€¦ via @apahabar.com,presiden jokowi raja salman sepakat tingkatkan kerja sama ekonomi â via com
negatif,02 kelar hidupmu.. bisanya cuma harga mahal turunkan solusi 0% kubu Prabowo bahlull,02 selesai hidupmu bisanya cuma harga mahal turunkan solusi 0 kubu prabowo bahlull
positif,Tak akan terima gaji sbg presiden dan wapres. Akan disumbangkan ke negara dan fakir miskin..pertama dlm sejarah bangsa Indonesia..  DEBAT PILPRES: PERNYATAAN PENUTUP PRABOWO-SANDIAGA UNO  https://youtu.be/rMQzSqN-U3cÂ  lewat @YouTube,tak terima gaji presiden wakil presiden disumbangkan negara fakir miskin pertama sejarah bangsa indonesia debat pemilihan presiden pernyataan penutup prabowo sandiaga uno lewat
positif,"Kalau infrastructure yg di bangun pakai uang pribadi dia boleh lah yg ga mendukung untuk tidak lewat sana,, tp ini pakai pajak dr Semua Warga negara dan setiap lewat pun harus bayar.",kalau infrastructure di bangun pakai uang pribadi boleh lah tidak mendukung tidak lewat sana ini pakai pajak semua warga negara setiap lewat harus bayar
positif,"#PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih ada Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦",pilihorangbaik pilihygjelasislamnya pilihygbajuputih beberapa penghargaan dianugerahkan kepadanya menjadi bukti adalah sosok pemimpin diakui integritasnya â
positif,"Bersatu Bersama Jokowi-KMA.   #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]",bersatu bersama jokowi kma pilihorangbaik pilihjelasislamnya pilihbajuputih berbagai pencapaian berhasil tercapai khususnya pertumbuhan ekonomi era pemerintahan sangat jauh meningkat â
netral,Orang luar negeri sangat menghargai prestasi yg sudah dilakukan JOKOWI tetapi dinegaranya sendiri banyak yg mencaci,orang luar negeri sangat menghargai prestasi sudah dilakukan jokowi dinegaranya sendiri banyak mencaci
netral,"Maaf Pak , Rakyat tdk butuh pelukan , Rakyat butuh harga sembako murah ,  Listrik tarif turunkan , butuh lap kerja , bukan janji2 saja , #UASdifitnahKejiDanBrutal",maaf pak rakyat butuh pelukan rakyat butuh harga sembako murah listrik tarif turunkan butuh lap kerja bukan janji janji uasdifitnahkejidanbrutal
netral,"#GameofThrones Winter is coming Pidato Jokowi di IMF Bank Dunia  Ibaratkan Ekonomi Dunia seperti Game Of Thrones  Game of Throneâ€™, Presiden Jokowi: Penting, Kekuatan Bersama Untuk Kalahkan â€˜Evil Winterâ€™  http://setkab.go.id/seperti-game-of-throne-presiden-jokowi-penting-kekuatan-bersama-untuk-kalahkan-evil-winter/Â â€¦ â€¦ #2019TetapJokowi pic.twitter.com/B8bZPjbFFi",gameofthrones winter is coming pidato jokowi international monetary fund bank dunia ibaratkan ekonomi dunia game of thrones game of throneâ trade_mark presiden jokowi penting kekuatan bersama kalahkan â evil winterâ trade_mark â â 2019tetapjokowi pic twitter com b8bzpjbffi
positif,"@VidiaAmanda3 17 April Pilih Jokowi-KMA. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan. Namun, di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan.  https://bit.l",17 april pilih jokowi kma pilihorangbaik pilihjelasislamnya pilihbajuputih dulu sekadar pertumbuhan ekonomi pemerataan di zaman pak jokowi bukan pertumbuhan ekonomi juga pemerataan pembangunan
netral,Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi   http://mediaindonesia.com/read/detail/229640-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomiÂ â€¦ #01OptimisIndonesiaMaju pic.twitter.com/Gudihikymw,jokowi raja salman sepakat tingkatkan kerja sama ekonomi â 01optimisindonesiamaju pic twitter com gudihikymw
negatif,#UAHUASUAHUAS  ... Meskipun aku di surga Mungkin aku tak bahagia Bahagiaku tak sempurna Bila itu tanpamu... *Gandeng tangan prabowo  Baru jadi ustad sudah yakin masuk surga.... Ckckckck... Salah milih guru ngaji gue... #2019GantiPengajian,uahuasuahuas meskipun aku surga mungkin aku tak bahagia bahagiaku tak sempurna bila tanpamu gandeng tangan prabowo baru jadi ustad yakin masuk surga ckckckck salah memilih guru mengaji gue 2019gantipengajian
negatif,"Buat anggota @KPU_ID anda tdk layak digaji, sebaiknya rasa malu diutamakan daripada isi perut. Gede bacot minim torehan prestasi.  cc @jokowi",buat anggota tidak layak digaji sebaiknya rasa malu diutamakan isi perut gede bacot minim torehan prestasi cc
netral,"Gasah mengejek program pa jokowi , karena program ini jg tdk asal ,pasti sdh dipikirkan mateng ,seperti program kis dulu ....mari kita hargai jgn saling menghujat .",gasah mengejek program pak jokowi program juga asal sudah dipikirkan matang program kartu indonesia sehat dulu kita hargai jangan saling menghujat
netral,Monggo silahkan..itu hak anda...hargai juga kami yg inginkan perubahan lebih baik...,monggo silakan hak hargai kami inginkan perubahan lebih baik
positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.   https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦",pilihorangbaik pilihjelasislamnya pilihbajuputih beberapa penghargaan dianugerahkan kepadanya menjadi bukti adalah sosok pemimpin diakui integritasnya â
negatif,"He, he, he, sok bijak nih antek ORBA! Pikirkan Letjen pecatan yang bilang biang kerok ekonomi Indonesia adalah Presiden sebelum Jokowi, ada Jenderal SBY! Gimana demokrat ngga beralih dukungan ke Jokowi coba?",he he he sok bijak nih antek orde baru pikirkan letnan jenderal pecatan bilang biang kerok ekonomi indonesia presiden jokowi jenderal susilo bambang yudhoyono bagaimana demokrat beralih dukungan jokowi coba
netral,Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi:  http://metrobali.com/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi/Â â€¦ via @metrobali,presiden jokowi raja salman sepakat tingkatkan kerja sama ekonomi â via
netral,"gue kasih tau..Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.Â  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih",gue kasih tau beberapa penghargaan dianugerahkan kepadanya menjadi bukti adalah sosok pemimpin diakui integritasnya â â â pilihorangbaikâ pilihjelasislamnyaâ pilihbajuputih
netral,Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi  https://www.balinetizen.com/2019/04/14/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi/Â â€¦ via @Bali Netizen,presiden jokowi raja salman sepakat tingkatkan kerja sama ekonomi â via warganet
positif,"Dalam penjelasannya Kyai @KHMarufAmin_ mau menjadi cawapres karna @jokowi punya komitmen terkait ekonomi umat dgn apa yg disebutnya sebagai arus baru ekonomi Indonesia, membangun ekonomi dri bawah.   https://bit.ly/2Zbe65vÂ  #PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih",penjelasannya kiai mau menjadi calon wakil presiden punya komitmen terkait ekonomi umat apa disebutnya arus baru ekonomi indonesia membangun ekonomi bawah pilihorangbaik pilihygjelasislamnya pilihygbajuputih
positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Menterinya aja berprestasi, apalagi pemimpinnya. Bisa dikatakan, era @jokowi lah dimana sejumlah menterinya banyak meraih penghargaan.  https://bit.ly/2IpbIDdÂ ",pilihorangbaik pilihjelasislamnya pilihbajuputih menterinya berprestasi pemimpinnya dikatakan era lah sejumlah menterinya banyak meraih penghargaan
negatif,#PopulerB1 4: Jokowi: Naikkan Tax Ratio Drastis Bisa Guncang Ekonomi  http://brt.st/6b4KÂ ,populerb1 4 jokowi naikan tax ratio drastis guncang ekonomi
positif,"Lalu berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat. #PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]",lalu berbagai pencapaian berhasil tercapai khususnya pertumbuhan ekonomi era pemerintahan sangat jauh meningkat pilihorangbaik pilihygjelasislamnya pilihygbajuputih â
negatif,"Disitu pak jokowi hanya membahas game online bagi pemain profesional, bahkan sekarang udah ada piala presiden Mobile legend, dan hadiahnya sangat besar. Jika kita mau bersaing didunia online seperti game, ekonomi kita juga akan naik.",situ pak jokowi membahas game online pemain profesional bahkan sekarang ada piala presiden mobile legend hadiahnya sangat besar mau bersaing dunia online game ekonomi kita juga naik
positif,"@Jokowi @KHMarufAmin_ 17 April Pilih Jokowi-KMA. Pada ngerti kan kalo Pak Jokowi belajar ngaji sejak sebelum jadi pejabat. Murni mendalami agama, tanpa unsur pencitraan. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih",17 april pilih jokowi kma mengerti kan kalau pak jokowi belajar mengaji sejak jadi pejabat murni mendalami agama unsur pencitraan pilihorangbaik pilihjelasislamnya pilihbajuputih
positif,#Repost from sandiuno (repost_media_app)  Prabowo-Sandi tidak ingin gagal fokus. Kita ingin pembangunan besar-besaran ini berdampak langsung pada ekonomi dan kesejahteraanâ€¦  https://www.instagram.com/fely_irzahn/p/BwQN4Ubgziz/?utm_source=ig_twitter_share&igshid=4xvs93h4zmduÂ â€¦,repost from sandiuno repost_media_app prabowo sandi ingin gagal fokus ingin pembangunan besar besaran berdampak langsung ekonomi kesejahteraanâ â
negatif,Alasan Prabowo-Sandi Tak Terima Gaji Jika Menang: Negara Sedang Susah  https://kumparan.com/@kumparannews/alasan-prabowo-sandi-tak-terima-gaji-jika-menang-negara-sedang-susah-1qsiM359eYk?utm_medium=post&utm_source=Facebook&utm_campaign=intÂ â€¦,alasan prabowo sandi tak terima gaji menang negara sedang susah â
negatif,"He, he, he, pikirkan Letjen pecatan yang bilang biang kerok ekonomi presiden2 sebelum Jokowi ada Jenderal SBY ada Jenderal Soeharto yg bintang nya sampe lima, dungu!",he he he pikirkan letnan jenderal pecatan bilang biang kerok ekonomi presiden2 jokowi jenderal susilo bambang yudhoyono jenderal soeharto bintang nya lima dungu
netral,"Jokowi menambahkan, capaian pertumbuhan itu perlu disyukuri karena Indonesia tetap tumbuh meski kondisi ekonomi global sedang bergejolak #2019JokowiKyaiMaruf  https://twitter.com/Tagar_Nusantara/status/1105782861150314496/photo/1 pic.twitter.com/y4PFLSTk8lÂ ",jokowi menambahkan capaian pertumbuhan perlu disyukuri indonesia tetap tumbuh meski kondisi ekonomi global sedang bergejolak 2019jokowikyaimaruf pic twitter com y4pflstk8lâ
positif,"Janji Tak Ambil Gaji Jika Menang Pilpres, Prabowo: Bukti Kita Tulus  https://news.detik.com/berita/d-4509660/janji-tak-ambil-gaji-jika-menang-pilpres-prabowo-bukti-kita-tulus?utm_term=echobox&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikcom&utm_source=Facebook#Echobox=1555173787Â â€¦",janji tak ambil gaji menang pemilihan presiden prabowo bukti tulus â
negatif,"Terus lah bersuara minta keadilan. 1 suara begitu berarti.  @KPU_ID  kerja yang benar,jangan makan gaji buta. Jangan curang.",terus lah bersuara meminta keadilan 1 suara berarti kerja benar jangan makan gaji buta jangan curang
negatif,Jelas Jokowi lah. Prabowo dan Sandi pecicilan. Selalu pesimis tanpa jalan keluar jelas. Ekonomi Makro dan Mikro saja tak tau,jelas jokowi lah prabowo sandi pecicilan selalu pesimis jalan keluar jelas ekonomi makro mikro tak tau
positif,"gue kasih tau..Menterinya aja berprestasi, apalagi pemimpinnya. Bisa dikatakan, era @jokowi lah dimana sejumlah menterinya banyak meraih penghargaan.Â  https://bit.ly/2IpbIDdÂ Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih",gue kasih tau menterinya berprestasi pemimpinnya dikatakan era lah sejumlah menterinya banyak meraih penghargaan â â pilihorangbaikâ pilihjelasislamnyaâ pilihbajuputih
netral,Berita terbaru (Prabowo: Saya Tak Ingin Naikkan Pajak 16 Persen dalam Setahun) telah ada di  http://PILPRES.idÂ  -  https://pilpres.id/info/prabowo-saya-tak-ingin-naikkan-pajak-16-persen-dalam-setahun.htmlÂ â€¦ pic.twitter.com/8o7biqQ0gn,berita terbaru prabowo tak naikan pajak 16 persen setahun ada â pic twitter com 8o7biqq0gn
